translated	text
1	"작은 조각에는 유채꽃, 산방산, 올레길, 제주 해녀, 귤/한라봉(사진), 동백꽃 등이 있으며, 모든 조각에는 안전을 위해 일하는 제주경찰의 모형이 새겨져 있습니다."
0	조형물은 설문대할망에 대한 옛이야기와 아름다운 제주의 관광지·명물 등을 소개하며 국민들과 호흡하는 제주경찰의 모습을 통해 제주를 방문한 여행객들이 안심하고 여행할 수 있다는 메시지를 전한다.
1	조형물은 #설문대할망#에 대한 신화와 제주의 아름다운 관광명소/특산품을 소개하고, 제주를 찾는 관광객들이 사람과 소통하는 제주경찰 덕분에 안전하게 여행할 수 있는 방법에 대한 메시지를 전달합니다.
0	콜롬비아 미드필더 후안 페르난도 퀸테로는 19일 러시아 모르도비야 아레나에서 열린 월드컵 조별리그 H조 1차전에서 0-1로 뒤진 전반 39분 프리킥 직접 슛으로 동점골을 터뜨렸다.
1	"19일 러시아 모르도비아 아레나에서 열린 월드컵 조별리그 H조 1차전에서 콜롬비아의 미드필더 후안 페르난도 퀸테로가 전반 39분 직접 프리킥으로 동점골을 터트렸다. 0-1로 뒤졌을 때."
0	일본은 선축으로 시작된 첫 공격 때 전반 2분 미드필더 카가와 신지의 슛을 페널티박스 안에서 오른팔로 막은 콜롬비아 미드필더 카를로스 산체스의 핸들링 반칙으로 페널티킥을 얻었다.
1	"킥오프로 시작하는 첫 공격에서 일본은 전반 2분 카가와 신지 미드필더의 슛을 페널티 박스 안에서 오른팔로 막아낸 콜롬비아 미드필더 카를로스 산체스의 핸들링 파울로 페널티킥을 얻었다."
0	수양개 빛 터널은 지난해 7월 개장한 뒤 12월 말까지 6개월간 12만1755명이 관람해 8억원이 넘는 입장료 수입을 올렸다.
1	"수양개 빛터널은 지난해 7월 개통한 이후 12월 말까지 6개월간 12만1755명이 방문, 입장료 8억원 이상을 기록했다."
0	이번 관광객 통계분석 자료는 도담삼봉을 비롯한 단양지역 주요 관광지 22곳의 무인계측기와 입장권 판매 현황 등을 통해 조사됐다.
1	이번 관광통계분석 조사는 도담삼봉을 비롯한 단양지역 22개 관광지의 무인계측기와 티켓판매 현황을 통해 진행됐다.
0	충북 충주박물관에서 18일 열린 ‘제1회 문화재 그리기 대회’에 참가한 어린이들이 국보 6호인 ‘충주 탑평리 칠층석탑’을 소재로 그림을 그리고 있다.
1	18일 충주박물관에서 열린 '제1회 문화재 그림그리기 대회'에 참가한 어린이들이 국보 6호인 '충주탑평리 칠층석탑'을 그림으로 그리고 있다.
0	세르게이 라쿠바 총재는 “월드컵 현장 경기는 90%가 매진된 상태”라며 “교회가 월드컵 관람 환경을 제공해주면 더 많은 사람들을 교회 안으로 끌어 모을 수 있을 것”이라고 말했다.
1	세르게이 라쿠바 주지사는 “월드컵 현장경기의 90%가 매진됐다”며 “교회가 월드컵을 볼 수 있는 환경을 제공한다면 더 많은 사람들이 교회에 올 것”이라고 말했다.
0	영국군 동료가 쿠크리를 보여 달라고 부탁하자 칼을 빼든 구르카 병사가 자기 손가락을 베어 피를 묻힌 뒤 칼집에 꽂았다는 일화가 있다.
1	"영국 병사가 구르카 병사에게 쿠크리를 보여달라고 부탁했을 때 칼을 뽑아 손가락을 베고 다시 칼집에 피가 묻었다는 일화가 있습니다."
0	"용병 구르카는 순수 구르카족 출신뿐 아니라 마가르족, 구룽족 등 네팔 다른 부족 출신도 적지 않다."
1	구르카 용병은 순수 구르카 부족뿐만 아니라 마가르, 구룽 등 네팔의 여러 부족으로 구성되어 있다.
0	시험은 25㎏의 돌을 채운 바구니를 머리에 매달고 가파른 산길 5㎞를 55분 안에 주파해야 하고 2분 안에 윗몸 일으키기를 70번 해야 하는 식이다.
1	"테스트는 25kg의 돌을 머리에 얹은 상태에서 5km의 가파른 산길을 55분 동안 달리고, 2분 동안 윗몸 일으키기를 70회 수행하는 것입니다."
0	연금 기준으로 영국군이 월 800파운드(약 117만원)를 받는 반면 구르카 용병은 월 37파운드(약 5만5000원)를 받는 데 그친다.
1	“연금의 경우 영국군은 월 800(117만원), 구르카 용병은 37(55,000원)만 받는다.”
0	양대 노총은 헌법소원심판 청구서에서 “국회를 통과한 최저임금법이 헌법에서 보장하는 근로자의 적정임금 및 최저임금보장요구권을 침해한다”고 주장했다.
1	두 우산 노동단체는 헌법소원심판 청구서에 "국회에서 통과된 최저임금법이 헌법이 보장하는 노동자의 공정한 임금과 최저임금 보호를 요구할 권리를 침해한다"고 주장했다.
0	지난해만 해도 S부터 E까지의 6개 등급 가운데 C(보통)등급을 받았지만 올해 강원랜드와 연루된 채용비리 사태가 불거지면서 등급이 하락했다.
1	“작년에는 S에서 E까지 6개 중 C(보통)등급을 받았지만, 올해는 강원랜드 채용 비리 의혹이 제기되면서 등급이 강등됐다.
0	승점 6점을 챙긴 러시아는 21일 0시에 열리는 우루과이-사우디아라비아전에서 우루과이가 이기거나 두 팀이 비기면 16강에 진출하게 된다.
1	승점 6점인 러시아는 21일 자정 우루과이-사우디아라비아 경기에서 우루과이가 이기거나 두 팀이 무승부로 끝날 경우 16강에 진출한다.
0	"이 경기에서 사우디아라비아가 이기더라도 러시아는 1, 2차전에서 골 득실 +7을 기록해 이변이 없는 한 16강에 진출할 가능성이 높다."
1	이어 "이번 경기에서 사우디아라비아가 이기더라도 1, 2차전에서 7골을 추가한 러시아가 별다른 일이 없으면 16강 진출 가능성이 높다"고 말했다.
0	이런 상황에서 지난달 15일 빗썸 측에서 서비스와 기술 검증이 제대로 이뤄지지 않은 암호화폐 ‘팝체인’을 상장한다고 밝히면서 거래소와 ICO 업체 간 ‘뒷돈’이 오갔다는 의혹이 증폭됐다.
1	이런 상황에서 빗썸이 지난달 15일 서비스와 기술 면에서 제대로 검증되지 않은 암호화폐 팝체인이 공개될 것이라고 밝힌 만큼 거래소와 ICO 법인 간의 뇌물 의혹이 증폭됐다.
0	"정부는 기본적으로 블록체인 시장은 열어 두되 시세조작과 자금세탁, 탈세, 다단계 판매 등 거래 관련 불법 행위를 엄정 대처하겠다는 입장이다."
1	정부는 "시장조작, 자금세탁, 탈세, 피라미드 판매 등 거래와 관련된 불법 행위를 엄정히 처리하고 블록체인 시장을 기본적으로 개방하겠다"고 말했다.
0	"이에 시민 20만명 이상이 동의하자 청와대 정혜승 뉴미디어비서관, 김혜애 기후환경비서관, 최재관 농어업비서관이 19일 답변에 나섰다."
1	이에 대해 20만 명이 넘는 시민들이 동의한 가운데 정혜승 청와대 뉴미디어비서관, 김혜애 기후환경비서관, 최재관 농어업비서관이 19일 화답했다. ."
0	"이사국 중엔 2011년 리비아가 비무장 시민들을 학살해서 제명된 적이 있지만, 스스로 탈퇴를 선언하기는 미국이 처음이다."
1	“유엔이사회 회원국 중 리비아는 2011년 비무장화된 시민들을 학살한 혐의로 추방됐지만 미국이 스스로 탈퇴를 선언한 것은 이번이 처음이다.”
0	"유엔인권이사회가 대량학살이 벌어진 콩고를 이사국으로 승인하고, 베네수엘라와 이란의 인권 탄압에 대해선 소극적 태도를 보였다는 것이다."
1	유엔인권이사회가 콩고를 이사회의 이사국으로 승인하고 베네수엘라와 이란의 인권탄압에 소극적인 태도를 취했다고 전했다.
0	"유엔인권이사회가 한계를 가지고 있기는 하지만, 미국이 탈퇴하면 인권문제에 대한 지렛대를 잃게 되고, 이사회가 더욱 한쪽으로 치우쳐질 수있다는 얘기다."
1	“유엔인권이사회는 한계가 있지만 미국이 철수하면 인권문제에 대한 영향력을 잃게 되고 유엔이사회가 더욱 편향될 수 있음을 시사한다.”
0	아프가니스탄의 무장세력 탈레반이 19일 밤부터 서부 바드기스주의 군 검문소 2곳을 습격해 최소 30명의 아프간군이 숨졌다.
1	"아프가니스탄군 탈레반이 19일 밤 바드주 서부에 위치한 군 검문소 2곳을 공격해 최소 30명의 군인이 사망했습니다."
0	세계보건기구(WHO)는 18일(현지시간) 게임 중독을 ‘게임 장애(gaming disorder)’라는 새로운 정신질환으로 분류해 국제질병분류 제11차 개정판(ICD-11)에 올렸다고 발표했다.
1	세계보건기구(WHO)는 18일(현지시간) 게임중독을 '게임장애'라는 새로운 정신질환으로 분류하고 국제질병분류(ICD-11) 11차 개정판에 추가했다고 밝혔다.
0	"케이블카 사업지 일원에 멸종위기 2급인 구름병아리난초 자생지를 비롯해 하늘다람쥐와 삵, 남생이 등 멸종위기 동식물이 폭넓게 서식하고 있어 케이블카 설치 시 생태계를 크게 훼손할 수 있다는 것이다."
1	"케이블카 사업지역 주변에는 멸종위기 2급 난초, 날다람쥐, 들고양이, 민물거북 등 다양한 멸종위기 동식물이 서식하고 있어
0	신설 법인으로 분사되는 11번가는 SK텔레콤의 인공지능(AI) 기반 IT 기술과 결합한 신규 서비스 개발에 나설 계획이다.
1	"신규 기업으로 거듭날 11번가는 SK텔레콤의 인공지능(AI) 기반 IT 기술과 결합한 새로운 서비스를 개발할 계획"이라고 말했다.
0	포인트 마일리지 서비스 ‘OK캐쉬백’과 모바일 지갑 ‘시럽 월렛’ 등은 SK텔레콤의 자회사 SK테크엑스와 합병해 SK플래닛으로 새롭게 출범한다.
1	SK텔레콤의 자회사인 SK테크엑스와 합병해 포인트 마일리지 서비스 'OK캐쉬백'과 모바일 지갑 '시럽월렛'이 SK플래닛으로 새롭게 런칭된다.
0	"합병 이후 SK플래닛은 SK그룹 내 사업자들과 협업을 강화하고 챗봇, IoT 플랫폼 등 기술 자산을 상품화할 계획이다."
1	SK플래닛은 합병 이후 SK그룹 내 사업자들과의 협력을 강화하고 챗봇, IoT 플랫폼 등 기술 자산을 사업화할 계획이다.
0	"지난해 노르웨이의 축구 전문지 ‘조시마르’에 따르면 북한 노동자 110여명이 상트페테르부르크 스타디움 건설에 동원됐고, 그중 한 명은 경기장 밖의 컨테이너에서 사망한 채로 발견됐습니다."
1	“지난해 노르웨이 축구전문지 '조시마'에 따르면 상트페테르부르크 스타디움 건설에 북한 노동자 110여명이 동원됐으며 그 중 1명이 경기장 밖 컨테이너에서 숨진 채 발견됐다.
0	센터는 장원벌과 일반 꿀벌의 잡종을 막기 위해 육지와 떨어진 석문면 난지섬을 육종장으로 선정하고 장원 여왕벌을 대량으로 생산하고 있다.
1	센터는 “장원벌과 일반 꿀벌의 교잡종을 방지하기 위해 육지와 분리된 석문면 난지섬을 번식지로 지정하고 장원 여왕벌을 양산하고 있다”고 말했다.
0	센터는 이와 함께 ‘국내육성 우수꿀벌 신품종 보급 시범사업’의 일환으로 향후 당진 양봉농가 10곳에도 장원벌을 보급한다는 계획이다.
1	“또한 센터는 '국내 육종으로 우수한 신품종 꿀벌 공급 실증사업'의 일환으로 장원 꿀벌을 향후 당진의 10개 양봉장에 보급할 계획입니다."
0	예천곤충연구소와 농촌진흥청 국립농업과학원이 공동 개발한 장원벌은 2014년 국내 최초로 꿀 다수확 정부 장려품종 1호로 등록됐다.
1	"예천농촌진흥청 국립농업과학원 공동개발한 장원벌은 2014년 꿀 수확량이 많은 국가 제1호 국가권장품종으로 등록되었습니다."
0	장원벌은 일반 꿀벌에 비해 꿀을 채취하는 능력이 31% 뛰어나고 개체 당 수집하는 꿀의 양도 19% 이상 많은 것으로 알려졌다.
1	"장원벌은 일반 꿀벌보다 벌꿀 수확 능력이 31% 더 뛰어나고, 1벌당 채취할 수 있는 꿀의 양은 19% 이상인 것으로 알려졌습니다."
0	"시는 주민의견을 수렴해 당초 고가차도 방식이었던 눈들건널목을 지하차도(370m)와 교량(60m) 등 총연장 790m, 폭 12∼20m의 지하차도 방식으로 변경한다."
1	시는 주민들의 의견을 수렴해 기존 육교 형태였던 #눈들건널목#을 지하도(370m)와 교량(60m)이 있는 길이 790m, 폭 12~20m의 지하도 도로로 바꿀 예정이다.
0	"시는 당초 고가차도 방식으로 교량(길이 540m, 폭 13.0∼26.5m)과 총연장 925m의 도로·방음터널 등을 적용해 눈들건널목을 설치하려 했지만 주민들은 소음·분진·조망권 침해 등을 이유로 지하차도 방식으로의 변경을 요청했다."
1	시는 당초 교량(길이 540m, 폭 13.0~26.5m)과 총 925m 길이의 도로와 방음터널을 갖춘 고가도로로 #눈들건널목#을 설치하려 했으나 주민들이 지하도로 변경을 요청했다. 소음, 먼지, 조망권 침해 때문"
0	"스티커는 오는 25일까지 서울 거주 1∼2급 중증 시각장애인 7500여명의 집으로 개별 우편 발송되고 시각장애인 복지관 5곳, 장애인 점자도서관 10곳, 시각장애인 학습지원센터 6곳 등에도 비치할 예정이다."
1	스티커는 오는 25일까지 서울에 거주하는 1~2급 중증 시각 장애인 가정 7500가구에 개별 발송돼 시각장애인 복지관 5곳, 장애인 점자도서관 10곳, 장애인 학습지원센터 6곳에 배치된다. 눈이 먼."
0	어린 시절 성경을 읽으면서 스스로 질문을 던졌던 소년은 목회자가 된 후 같은 궁금증을 가진 성도들과 대화에 나선다.
1	"어렸을 때 성경을 읽으면서 스스로 질문을 던졌던 소년이 목사가 된 후 같은 질문으로 호기심 많은 신도들과 대화를 시작한다."
0	"여러 가지 변수가 있겠지만 잘만 된다면 현대차로선 인건비 부담을 덜 수 있고, 노동자는 안정적인 일자리를 얻을 수 있으며 광주시는 지역경제를 살릴 수 있는 ‘노·사·정 상생 프로젝트’가 될 수 있다."
1	"여러 변수가 있을 수 있지만, 성공한다면 현대차가 인건비 부담을 줄이고 노동자의 안정적인 일자리를 확보하고, 광주의 지역경제."
0	폭스바겐은 2001년 ‘아우토(Auto) 5000’을 추진해 기존 직원보다 20% 정도 낮은 임금으로 주당 3시간 더 일하는 조건으로 5000명을 신규 채용한 바 있다.
1	"폭스바겐은 2001년 '오토 5000'을 홍보하고 기존 직원보다 20% 낮은 급여로 주 3시간 이상 근무하는 조건으로 5000명을 신규 채용했다"고 말했다.
0	최근 한 조사에 따르면 영국 자동차 3사(복스홀·재규어랜드로버·닛산영국법인)의 근로자 1인당 매출액은 14억9400만원으로 한국 3사(현대차·기아차·한국GM) 7억8200만원의 배에 육박한다.
1	"최근 조사에 따르면 영국 자동차 3사(복스홀, 재규어랜드로버, 닛산브리티시) 근로자 1인당 매출은 14억9400만 ​​원으로 한국 3사(현대자동차, 기아차·한국지엠) 7억 8200만원”
0	"자율주행차, 친환경차 등 미래차 시장 선점을 위한 글로벌 경쟁이 치열한 상황에서 한국 자동차산업은 거대한 도전에 직면해 있다."
1	그는 “자율주행차, 친환경차 등 미래차 시장에서 선점을 위한 치열한 글로벌 경쟁 속에서 한국 자동차 산업이 큰 도전에 직면해 있다”고 말했다.
0	이 신임 시장의 일자리위원회 경험이 ‘광주형 일자리’ 프로젝트의 성공으로 이어져 대기업과 지방자치단체가 협력하는 일자리 창출 모델이 되기를 바란다.
1	이어 “이 신임 시장님의 취업위원회 경험이 광주일자리사업의 성공으로 이어져 대기업과 지방자치단체가 협력하는 일자리 창출 모델이 되기를 바란다”고 말했다.
0	"숫자 증가로 인한 경쟁심화, 환경 문제로 내연기관 차량에 대한 규제 심화 등 미래 전망도 불투명하다."
1	디젤기관차의 대수증가에 따른 경쟁심화와 환경문제로 인해 디젤기관차에 대한 규제가 강화되고 있어 향후 전망도 불투명하다.
0	앞서 SK에너지는 지난 3월 CJ대한통운과 주유소를 O2O(온·오프라인 연계) 서비스의 오프라인 플랫폼으로 바꾸기 위한 사업 추진 협약을 체결했다.
1	“이전에 SK에너지는 CJ대한통운과 주유소를 O2O 서비스(온·오프라인 연결)의 오프라인 플랫폼으로 전환하는 사업 추진을 위한 협약을 체결했습니다.”
0	전문가들은 가상화폐 거래소에 수십조원에 달하는 자금이 몰려있는데도 엄격한 보안 체계를 의무화하지 않은 점을 문제로 꼽는다.
1	전문가들은 가상 화폐 거래소가 수십조 원에 달하는 자금을 보유하고 있는데도 엄격한 보안 체계를 갖추지 못하고 있다는 점을 지적하고 있다.
0	장기간 내전을 겪고 있는 중동 국가 예멘의 난민들이 제주에 머물고 있는 가운데 이들의 정착을 놓고 찬반 논란이 빚어지고 있기 때문이다.
1	"장기간 내전을 겪고 있는 중동 국가 예멘에서 온 난민들이 제주에 머물면서 정착에 대한 찬반 논쟁이 있기 때문입니다."
0	이슬람교도가 대부분인 난민이 이슬람국가인 말레이시아를 경유하는 경우가 많은데 말레이시아와 제주 간 저가항공을 통한 직항로가 있다는 점도 한 가지 이유다.
1	“무슬림이 대부분인 난민들이 무슬림 국가인 말레이시아를 경유하는 경우가 많은데, 그 이유 중 하나는 저가항공을 통해 말레이시아와 제주를 잇는 직항로가 존재하기 때문입니다.”
0	원칙적으로는 난민 신청 뒤 6개월이 지나야 취업이 가능하지만 도는 최근 예멘 난민 신청자에 대해 인도적 차원에서 그 전이라도 취업할 수 있도록 허용했다.
1	“원칙적으로 망명 신청 후 6개월 후에 취업이 가능하지만 최근 도에서는 인도적 차원에서 난민 신청자들이 그 기간 이전에 취업할 수 있도록 허용했습니다.”
0	소상공인들은 최저임금의 차등화가 받아들여지지 않으면 2019년 최저임금 인상률을 결정하는 최저임금위원회 전원회의에도 불참하겠다고 으름장을 놓고 있다.
1	소상공인들은 최저임금차별이 받아들여지지 않으면 2019년 최저임금 인상률을 결정하는 최저임금위원회 전체회의에 불참하겠다고 위협하고 있다.
0	"예멘 난민이 늘자 지난 4월 법무부는 새로 난민 신청을 한 예멘인들의 출도를 금지하고, 지난 1일에는 예멘을 무사증입국 불허국가로 지정했다."
1	"예멘 난민이 늘어나면서 법무부는 지난 4월 새로 망명을 신청한 예멘인의 다른 지역으로의 이주를 금지했고, 지난달 1일 예멘을 사증 없이 입국할 수 없는 국가로 지정했다."
0	최근 한 네티즌은 예멘 난민들이 운영하는 페이스북 커뮤니티에 “한국인 대부분이 너희를 싫어한다”는 내용의 글을 올리기도 했다.
1	"최근 한 네티즌은 예멘 난민들이 운영하는 페이스북 커뮤니티에 "한국인 대부분이 당신을 싫어합니다"라는 글을 올렸다.
0	우루과이는 21일 오전 0시(한국시간) 러시아 로스토프 아레나에서 사우디아라비아와 가진 월드컵 조별리그 A조 2차전에서 전반 23분 공격수 루이스 수아레즈의 결승골로 1대 0 신승을 거뒀다.
1	우루과이는 오전 0시 러시아 로스토프 아레나에서 열린 B조 월드컵 2차전 사우디아라비아와의 경기에서 23분 스트라이커 루이스 수레스의 선제골에 힘입어 1-0으로 근소한 차로 승리했다. 시간) 21일.
0	전날 상트페테르부르크 스타디움에서 이집트를 1대 3으로 이기고 2승을 먼저 쌓았던 러시아는 우루과이의 승리로 16강 진출을 결정하게 됐다.
1	러시아가 전날 상트페테르부르크 스타디움에서 이집트를 1-3으로 꺾고 2승을 거둔 만큼 우루과이의 승리로 러시아가 16강 진출을 결정했다"고 말했다.
0	예멘 난민에 대한 부정적 여론이 높아지면서 문재인 대통령은 지난 20일 제주도 예멘 난민 사태와 관련해 현황 파악을 지시했다.
1	“예멘 난민에 대한 부정적인 여론이 커지자 문재인 대통령이 20일 제주도의 예멘 난민 지위에 대한 현황 파악을 위한 지시를 내렸습니다.”
0	"이에 인천녹색연합은 인천중구청의 직무유기, 시민기만행위를 더 이상은 두고 볼 수 없어 형사고발까지 하게 됐다는 것이다."
1	이에 따라 그린코리아인천은 인천중구청의 직무유기·국민사기행위를 더 이상 참을 수 없어 형사고발하게 됐다”고 말했다.
0	윤서인은 22일 자신의 소셜미디어에 ‘페북(페이스북)용 한 컷 만화: 나도 착한 말이나 하면서 살 걸…’이라며 그림 한 장을 올렸다.
1	윤서인은 22일 자신의 인스타그램에 "페이스북 원프레임 만화: 좋은 말을 했어야 했는데..."라는 글과 함께 한 장의 사진을 게재했다.
0	"이번 워크숍은 ‘첨단기술과 무인체계를 이용한 해양정보 발전’을 주제로 2개 분야 8개 주제에 대해 현역, 해양정보 연구기관 및 학교 관계자 300여명이 참가해 다양한 의견을 발표하고 토론회를 가졌다."
1	이번 워크숍은 '첨단기술과 무인시스템을 활용한 해양정보 개발'을 주제로 진행됐으며, 현재 해양정보연구소 및 학교 관계자 300여명이 참석해 2개 분야 8개 주제에 대해 다양한 의견을 제시하고 토론했다.
0	전남지방경찰청 광역수사대는 사기도박을 벌인 혐의(사기)로 김모(46)씨와 이모(55)씨 등 2명을 구속하고 7명을 불구속 입건했다고 21일 밝혔다.
1	전라남도경찰청 특수범죄수사대는 21일 사기도박(사기) 혐의로 김(46)씨와 이씨(55)씨 2명을 구속하고 7명을 불구속 입건했다고 밝혔다.
0	"이들은 2014년 10월부터 지난해 5월까지 전남 목포, 전북 고창, 경남 김해 등 전국 14개 지역을 돌며 카드 도박을 벌여 총 6100만원을 편취한 혐의를 받고 있다."
1	이들은 2014년 10월부터 지난해 5월까지 전남 목포·전북 고창·경남 김해 등 전국 14개 지역에서 카드도박으로 총 6100만원을 사취한 혐의를 받고 있다.
0	"이들은 총책과 영상판독기사, 선수 심부름꾼 등 각자 임무를 나눠 맡은 뒤 수익금에서 각각 10∼30%씩 나눠 가졌다고 경찰은 설명했다."
1	경찰은 "담당자, 영상리더, 플레이어 메신저 등 각자 맡은 업무를 분담해 했고, 각각 수익의 10~30%를 공유했다"고 설명했다.
0	"원달러 환율이 전 거래일보다 7.7원 오른 1,112.80으로 7개월만에 최고치를 기록한 21일 오후 서울 중구 KEB하나은행 딜링룸에서 딜러들이 업무를 보고 있다."
1	원-달러 환율이 전 거래일보다 7.7원 오른 1,112.80원으로 7개월 만에 최고치를 기록한 21일 오후 서울 중구 KEB하나은행 딜링룸에서 딜러들이 일하고 있다.
0	"이날 코스피 지수는 전 거래일보다 26.08포인트 (-1.10%) 하락한 2,337.83으로, 코스닥 지수는 전 거래일보다 13.95포인트(-1.66) 하락한 826.22로 장을 마감했다."
1	이날 코스피지수는 전 거래일보다 26.08포인트(-1.10%) 하락한 2,337.83, 코스닥지수는 전 거래일보다 13.95포인트(-1.66) 하락한 826.22에 마감했다.
0	이번 탈퇴는 유엔인권이사회의 반이스라엘 성향에 대한 반발과 트럼프 대통령이 내건 ‘미국 우선주의(America First)’가 맞물린 결과로 보인다.
1	이번 철수는 트럼프 대통령의 '미국 우선주의'(America First)와 함께 유엔 인권이사회의 반이스라엘 정서에 대한 저항에서 비롯된 것으로 보인다.
0	연일 무더위가 기승을 부리는 가운데 20일 서울 강남구 잠원한강지구에서 한 시민이 수상스키를 즐기며 더위를 식히고 있다.
1	연일 극심한 폭염 속에 한 시민이 20일 서울 강남구 한강 잠원 일대에서 수상스키를 타고 더위를 식히고 있다.
0	첫 번째 징후는 2015년 이후 13대 수출 주력업종 내 한계기업 수가 크게 늘고 있다는 점이다.
1	첫 번째 징후는 2015년 이후 13개 핵심 수출기업 중 한계기업의 수가 크게 증가하고 있다는 점이다.
0	"외감기업(자산총액이 120억원을 넘어 의무적으로 회계감사를 받아야 하는 기업 등)을 기준으로 선박, 자동차, 반도체, 석유화학, 디스플레이 등 13대 수출 주력업종 가운데 한계기업 수는 2015년 370개에서 2017년 464개로 2년 사이 94개 증가했다."
1	“외부감사업(총자산 120억원 이상 감사대상기업) 기준 해운·자동차·반도체·석유화학·디스플레이 등 13개 핵심수출사업 중 한계기업 수는 전년보다 늘었다. 2015년 370명에서 2017년 464명으로 2년 만에 94명 늘었다.
0	"이밖에 원화가치 상승으로 수출 가격경쟁력이 약화하고 있는 점, 미국발 보호무역주의 확산, 글로벌 경제 불안정도 수출 전망을 어둡게 하고 있다."
1	게다가 원화 강세에 따른 수출 가격 경쟁력 약화, 미국의 보호무역주의 확산, 세계 경제 불안 등도 수출 전망을 어둡게 하고 있다”고 말했다.
0	"앞서 춘천시는 지난 3월 1지구 개발부지에 입주를 희망하는 두산에코비즈넷, 리제론, 레인보우바이오테크 등 13개 기업과 투자협약을 체결했다."
1	"춘천시는 앞서 3월 초 두산에코비즈넷, 라이제론, 레인보우바이오텍 등 13개 기업과 1지구 개발 부지에 입주를 희망하는 투자 협약을 체결했다"고 말했다.
